Sno,Date,State,Confirmed,Cured,Deaths
1,25-04-2020,Andaman and Nicobar Islands,27,11,0
2,25-04-2020,Andhra Pradesh,1061,171,31
3,25-04-2020,Arunachal Pradesh,1,1,0
4,25-04-2020,Assam,36,19,1
5,25-04-2020,Bihar,228,46,2
6,25-04-2020,Chandigarh,28,15,0
7,25-04-2020,Chhattisgarh,36,30,0
8,25-04-2020,Delhi,2514,857,53
9,25-04-2020,Goa,7,7,0
10,25-04-2020,Gujarat,2815,265,127
11,25-04-2020,Haryana,272,156,3
12,25-04-2020,Himachal Pradesh,40,18,1
13,25-04-2020,Jammu and Kashmir,454,109,5
14,25-04-2020,Jharkhand,59,9,3
15,25-04-2020,Karnataka,489,153,18
16,25-04-2020,Kerala,451,331,4
17,25-04-2020,Ladakh,20,14,0
18,25-04-2020,Madhya Pradesh,1952,210,92
19,25-04-2020,Maharashtra,6817,957,301
20,25-04-2020,Manipur,2,2,0
21,25-04-2020,Meghalaya,12,0,1
22,25-04-2020,Mizoram,1,0,0
23,25-04-2020,Odisha,94,33,1
24,25-04-2020,Puducherry,7,3,0
25,25-04-2020,Punjab,298,67,17
26,25-04-2020,Rajasthan,2034,230,27
27,25-04-2020,Tamil Nadu,1755,866,22
28,25-04-2020,Telengana,984,253,26
29,25-04-2020,Tripura,2,1,0
30,25-04-2020,Uttarakhand,48,25,0
31,25-04-2020,Uttar Pradesh,1778,248,26
32,25-04-2020,West Bengal,571,103,18
